-90 5.07827e-07
-89 3.39593e-07
-88 2.18195e-07
-87 1.3477e-07
-86 8.13201e-08
-85 5.0726e-08
-84 3.66869e-08
-83 3.37759e-08
-82 3.76511e-08
-81 4.49626e-08
-80 5.37885e-08
-79 6.37599e-08
-78 7.4998e-08
-77 8.76465e-08
-76 1.0185e-07
-75 1.17773e-07
-74 1.35601e-07
-73 1.55553e-07
-72 1.77885e-07
-71 2.02894e-07
-70 2.30932e-07
-69 2.62417e-07
-68 2.97852e-07
-67 3.37862e-07
-66 3.83227e-07
-65 4.34925e-07
-64 4.94191e-07
-63 5.62615e-07
-62 6.42276e-07
-61 7.35953e-07
-60 8.47286e-07
-59 9.80371e-07
-58 1.14052e-06
-57 1.33516e-06
-56 1.57494e-06
-55 1.87153e-06
-54 2.22465e-06
-53 2.6309e-06
-52 3.08563e-06
-51 3.58045e-06
-50 4.10539e-06
-49 4.65081e-06
-48 5.20358e-06
-47 5.74302e-06
-46 6.23958e-06
-45 6.67763e-06
-44 7.05514e-06
-43 7.37473e-06
-42 7.63756e-06
-41 7.84584e-06
-40 8.00269e-06
-39 8.11353e-06
-38 8.18456e-06
-37 8.22821e-06
-36 8.25773e-06
-35 8.27486e-06
-34 8.27924e-06
-33 8.27049e-06
-32 8.24824e-06
-31 8.21211e-06
-30 8.16174e-06
-29 8.09675e-06
-28 8.01679e-06
-27 7.92148e-06
-26 7.81046e-06
-25 7.68339e-06
-24 7.54352e-06
-23 7.41418e-06
-22 7.34423e-06
-21 7.46503e-06
-20 8.33336e-06
-19 1.03487e-05
-18 1.34889e-05
-17 1.7818e-05
-16 2.33539e-05
-15 3.00534e-05
-14 3.78095e-05
-13 4.66299e-05
-12 5.65188e-05
-11 6.66961e-05
-10 7.60143e-05
-9 8.42679e-05
-8 9.13456e-05
-7 9.73402e-05
-6 0.000102257
-5 0.000105995
-4 0.000108657
-3 0.000110168
-2 0.000110664
-1 0.000110753
0 0.000110782
